year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2018;Nei;Humaniora;Litteraturvitenskap;255,359658648
2018;Nei;Humaniora;Lingvistikk;277,593239337
2018;Nei;Humaniora;Kunsthistorie;47,414213562
2018;Nei;Humaniora;Kulturvitenskap;106,971340507
2018;Nei;Humaniora;Historie;462,607772629
2018;Nei;Humaniora;Gresk og latin;41,601907263
2018;Nei;Humaniora;Filosofi og idéhistorie;264,122243231
2018;Nei;Humaniora;Engelsk;49,779898987
2018;Nei;Humaniora;Dans;1,4
2018;Nei;Humaniora;Asiatiske og afrikanske studier;37,708060412
2018;Nei;Humaniora;Arkitektur og design;130,900900141
2018;Nei;Humaniora;Arkeologi og konservering;170,597087680
2018;Nei;Medisin og helsefag;Øyesykdommer;16,403835333
2018;Nei;Medisin og helsefag;Øre-nese-hals;25,027063840
2018;Nei;Medisin og helsefag;Veterinærmedisin;97,746309425
2018;Nei;Medisin og helsefag;Sykepleie;329,906227861
2018;Nei;Medisin og helsefag;Samfunnsmedisin;764,661462761
2018;Nei;Medisin og helsefag;Revmatologi;64,848209059
2018;Nei;Medisin og helsefag;Radiologi og billeddiagnostikk;106,055939107
2018;Nei;Medisin og helsefag;Psykologi;675,215661625
2018;Nei;Medisin og helsefag;Psykiatri;284,562744755
2018;Nei;Medisin og helsefag;Pediatri;75,694111489
2018;Nei;Medisin og helsefag;Onkologi;160,588991250
2018;Nei;Medisin og helsefag;Odontologi;97,757036722
2018;Nei;Medisin og helsefag;Nevrologi;308,391493961
2018;Nei;Medisin og helsefag;Nefrologi;11,558871657
2018;Nei;Medisin og helsefag;Kirurgiske fag;253,239226636
2018;Nei;Medisin og helsefag;Infeksjoner;50,836930682
2018;Nei;Medisin og helsefag;Idrettsforskning;196,265954526
2018;Nei;Medisin og helsefag;Hjerte, kar og luftveier;234,962524531
2018;Nei;Medisin og helsefag;Hematologi;21,097415782
2018;Nei;Medisin og helsefag;Gynekologi og obstetrikk;109,191872215
2018;Nei;Medisin og helsefag;Geriatri;54,846941573
2018;Nei;Medisin og helsefag;Generell medisin;220,226430989
2018;Nei;Medisin og helsefag;Gastroenterologi og hepatologi;79,387617594
2018;Nei;Medisin og helsefag;Farmasi, farmakologi og toksikologi;208,044313296
2018;Nei;Medisin og helsefag;Ernæring;63,114653402
2018;Nei;Medisin og helsefag;Endokrinologi;78,360599268
2018;Nei;Medisin og helsefag;Dermatologi og venerologi;30,878827316
2018;Nei;Medisin og helsefag;Biomedisin;397,788640638
2018;Nei;Medisin og helsefag;Anestesi, intensiv, akutt;45,557864317
2018;Nei;Realfag og teknologi;Tverrfaglig teknologi;277,757706929
2018;Nei;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;393,499706024
2018;Nei;Realfag og teknologi;Miljøteknologi og industriell økologi;152,243843659
2018;Nei;Realfag og teknologi;Materialteknologi;283,681312106
2018;Nei;Realfag og teknologi;Matematikk;340,097202418
2018;Nei;Realfag og teknologi;Maskinteknikk;123,203788980
2018;Nei;Realfag og teknologi;Marin og maritim teknologi;324,823953897
2018;Nei;Realfag og teknologi;Kjemisk teknologi;171,661745017
2018;Nei;Realfag og teknologi;Kjemi;168,263676186
2018;Nei;Realfag og teknologi;Informatikk og datateknikk;710,174322696
2018;Nei;Realfag og teknologi;Industriell økonomi;13,547746983
2018;Nei;Realfag og teknologi;Geofag;651,397913308
2018;Nei;Realfag og teknologi;Generell teknologi;160,666853428
2018;Nei;Realfag og teknologi;Fysikk;226,926063579
2018;Nei;Realfag og teknologi;Energi;346,116725860
2018;Nei;Realfag og teknologi;Elkraft og elektrotekniske fag;90,863699840
2018;Nei;Realfag og teknologi;Elektronikk og kybernetikk;320,412278890
2018;Nei;Realfag og teknologi;Bygg og konstruksjonsteknikk;238,568917761
2018;Nei;Realfag og teknologi;Bioteknologi;71,172614870
2018;Nei;Realfag og teknologi;Biologi;727,823127291
2018;Nei;Realfag og teknologi;Anvendt geologi og petroleumsfag;160,655664787
2018;Nei;Samfunnsvitenskap;Økonomisk-administrative fag;528,230022667
2018;Nei;Samfunnsvitenskap;Utviklingsstudier;56,986237312
2018;Nei;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;807,442429239
2018;Nei;Samfunnsvitenskap;Statsvitenskap;498,138893385
2018;Nei;Samfunnsvitenskap;Sosiologi;422,517723478
2018;Nei;Samfunnsvitenskap;Sosialforskning;488,954229411
2018;Nei;Samfunnsvitenskap;Sosialantropologi;216,048557771
2018;Nei;Samfunnsvitenskap;Samfunnsøkonomi;286,285293784
2018;Nei;Samfunnsvitenskap;Rettsvitenskap;501,613078564
2018;Nei;Samfunnsvitenskap;Pedagogikk og utdanning;1193,319386955
2018;Nei;Samfunnsvitenskap;Kjønnsforskning;69,593737789
2018;Nei;Samfunnsvitenskap;Geografi;217,146687913
2018;Nei;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;114,709018180
2019;Ja;Humaniora;Tysk og nederlandsk;4,470904865
2019;Ja;Humaniora;Tverrfaglig humanistisk forskning;81,715862096
2019;Ja;Humaniora;Teologi og religionsvitenskap;121,983018912
2019;Ja;Humaniora;Teatervitenskap og drama;13,167320653
2019;Ja;Humaniora;Slavisk-baltisk;20,177658819
2019;Ja;Humaniora;Romansk;13,557365385
2019;Ja;Humaniora;Nordisk;13,379405952
2019;Ja;Humaniora;Musikkvitenskap;41,036884729
2019;Ja;Humaniora;Medier og kommunikasjon;220,969307270
2019;Ja;Humaniora;Litteraturvitenskap;15,691568923
2019;Ja;Humaniora;Lingvistikk;319,416716616
2019;Ja;Humaniora;Kunsthistorie;10,841549973
2019;Ja;Humaniora;Kulturvitenskap;16,802423220
2019;Ja;Humaniora;Historie;100,787277472
2019;Ja;Humaniora;Gresk og latin;3,676955262
2019;Ja;Humaniora;Filosofi og idéhistorie;129,033106909
2019;Ja;Humaniora;Engelsk;27,861908653
2019;Ja;Humaniora;Dans;1,838477631
2019;Ja;Humaniora;Asiatiske og afrikanske studier;19,234021184
2019;Ja;Humaniora;Arkitektur og design;75,755155006
